index,file,duplicate_of,line,ext,bytes,sha256,alt,class
"60","image-60.jpg","","4153","jpg","256433","6830aef96b51d32d58346f54d72806afaa69bb2d770da5580eba6927af357b02","上海DIIS",""
"61","image-61.jpg","","4157","jpg","87798","a2895c5e738ddf5fe75a467974838cb56fbbc9d08101e3b6e65a7201e716e68c","深圳黑客松",""
"62","image-62.jpg","","4161","jpg","212023","47a05c16ca5d73074899ef96df14b1672de01ca403124d3d2eceb313dc75bdb2","Advx二等奖",""
"63","image-63.jpg","","4165","jpg","214874","d80ea75cdeb806c0dad6ef18a0104b79729b42592f43b31aa9a95310d118ea36","大湾区创客峰会",""
"64","image-64.jpg","","4169","jpg","339547","adb356acd6deaeb470295da633d8172efef5209ce003bbb1713eecba140b6b3c","南宁展会",""
"65","image-65.jpg","","4173","jpg","108012","1d7fb1dc81598f93b77bebfa19f80232e908647ed0a3cde0d3c045f071c3080f","媒体采访",""
"66","image-66.jpg","","4177","jpg","123767","1965637a01e209ac65afd6cae6449d806dfecaa2dc25386c46a21e3b836c68ff","Fab Academy",""
"67","image-67.jpg","","4181","jpg","68787","da31973b3f0379d2166b2dded5d4da81297bda11537e5acae24c24e8e577994e","模数开源",""
"68","image-68.jpg","","4227","jpg","222416","a0a84360729f2e4a34e39fee57391cc4ed82d7ab0ebf4905a2f12f5631df0e5b","秉穹教育合作证书",""
"69","image-69-duplicate-of-image-26.jpg","image-26.jpg","4240","jpg","132463","8540a779376cbe8056e6465ccba566884a2e37c2d59b0e6fced685d42ac8618f","用友供应商资质",""
